stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0
72hpf,0,0,1.07,1.07,0,0,0,0,0,0,0,1.07,0,0,0,0,0,31.02,3.21,0,1.07,0,0,0,0,0
21Day,1.34,0,2.68,0,1.34,0,0,0,0,0,0,1.34,0,0,0,0,1.34,12.05,0,0,40.16,1.34,2.68,0,0,0
3Month,0,0.32,1.92,0,0,0.64,3.52,0.32,0.32,0.96,0.32,1.28,0.96,7.36,0.32,0,0,0,0,0.96,0.32,0.32,5.76,0.32,4.8,1.28
22Month,0,0,1.09,0,0,0.55,5.47,0.55,0,0,0,0,1.64,1.09,0,0.55,0,0,0,0,0,0,1.64,0,0,0
