stage,Epithelial_cell,Erythrocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Pancreatic_cell,Spermatocyte,T_cell
21Day,0,1.34,0,0,0,0,0,0,0,1.34,1.34,0,0
3Month,0,0,0,0.64,0,0.32,0,0,0,0.64,0,0.32,0.32
22Month,0.55,0,0.55,5.47,0.55,0,1.09,0.55,0.55,0,0,0,0
