stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte
72hpf,0,0,0,1.07,0,0,0,1.07,0,0,0,0,0,0,0,0,0
21Day,1.34,0,1.34,1.34,0,0,0,0,0,1.34,0,0,2.68,0,1.34,0,0
3Month,0,0.32,0.96,0,0.32,1.6,0.32,0,0,0.32,0.32,0,0,0.32,13.12,0,1.92
22Month,0,0,0.55,0,0,5.47,0,0,0.55,1.09,0,0.55,0,0,0,0.55,0
