stage,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,4.09,0,0,4.09,0,0,0
72hpf,0,0,0,0,1.07,0,0,4.28,2.14,2.14,0,0
21Day,1.34,0,0,0,0,1.34,0,0,0,1.34,0,0
3Month,0.64,0.32,0.32,0.64,0,0.32,0,0,0,0,4.16,0.96
22Month,0,1.64,0,0,0,0.55,0.55,0,0,0,0,0
