stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,16.35,0,0,20.43,0,0,0,0,0,0,0
72hpf,4.28,3.21,0,3.21,2.14,0,0,0,0,1.07,0,0,0,0,0,3.21,1.07,180.79,1.07,1.07,0,20.33,9.63,0,0,305.96,0,0,3.21,0,0,21.4,0
21Day,10.71,0,1.34,4.02,2.68,0,0,0,1.34,0,0,0,2.68,2.68,1.34,2.68,8.03,368.1,0,96.37,0,20.08,8.03,0,5.35,147.24,8.03,0,2.68,1.34,1.34,6.69,1.34
3Month,0,6.08,0,1.92,0,0,0,0,2.24,0,1.6,0.64,0,0.64,0,0.64,0.96,27.84,0,41.59,0.32,1.6,0,0.32,0.32,0.32,0.32,0.96,0,0,0,0.32,0.64
22Month,0,4.92,0,1.09,0,1.09,0.55,0.55,2.19,0,4.37,0,0,0,0,1.64,1.64,38.81,0.55,16.4,0,0,0,0,0,0,0,0,0,0,0,1.64,0.55
