stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42,1.07,0,0,0,1.07
21Day,1.34,0,0,1.34,1.34,0,0,0,0,0,0,0,1.34,0,4.02,0,0,0,1.34,4.02
3Month,0,0.32,1.28,0,0,0.32,0.64,0.32,0.64,0.96,0,0,0.32,0.32,0,0,0.32,0.32,0,0
22Month,0,0,0.55,0,0,0,0,1.64,0,0,0,0.55,0,0,0.55,0,0,0,0.55,12.03
