stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,0,0,0
72hpf,7.49,0,2.14,0,1.07,0,0,0,0,0,0,0,0,0,0,2.14,0,1.07,0,0,0,1.07,0,0,1.07,0,0,1.07,0,1.07,0,0
21Day,0,0,12.05,0,0,0,0,0,0,0,1.34,0,0,0,0,4.02,0,17.4,0,0,1.34,4.02,1.34,0,1.34,1.34,0,0,0,0,0,0
3Month,0,0.64,13.44,0,0,0,0.96,0.64,0.32,0,1.6,0.64,0,8.96,0.64,9.92,5.44,3.52,0.32,0,0.32,0.96,0.32,0,0.32,0,0.64,0,0.32,0,2.56,0.32
22Month,0,3.28,13.12,0.55,0,1.09,0,1.09,1.09,3.83,27.33,0.55,1.09,2.73,0,9.84,13.67,91.29,1.09,2.19,0.55,1.09,0,0.55,0,0.55,0.55,8.75,0.55,0,0,0
