stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,40.86,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,32.69,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,0,5.35,50.28,1.07,0,0,0,0,0,0,0,0,0,0,0,2.14,0,4.28,0,0,2.14,2.14,8.56,19.26,2.14,4.28,0,3.21,0,0,5.35,1.07,0,0,0,0
21Day,2.68,0,0,18.74,62.91,1.34,0,0,0,0,0,0,0,0,0,1.34,20.08,1.34,4.02,17.4,0,0,1.34,0,22.76,6.69,6.69,25.43,0,6.69,2.68,4.02,1.34,2.68,1.34,0,0,1.34
3Month,5.76,2.24,0.96,34.87,4.8,0,0.64,0.32,5.12,5.44,1.6,0,25.6,22.72,0.32,17.92,5.44,7.68,4.48,981.92,1.6,0,5.44,2.56,2.88,0.32,0.64,24.64,0,3.2,1.92,14.72,0.64,0,0.32,1.6,5.12,2.56
22Month,3.28,1.64,2.19,19.68,14.21,0,9.84,0,30.07,10.93,0.55,0,69.97,6.56,1.64,25.69,1.64,3.83,3.83,2461.04,0,0.55,1.64,0,9.29,0,7.11,62.87,0.55,3.28,1.09,34.44,16.4,13.12,0,1.09,0,12.57
