stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,0,0,23.54,0,0,0,0,0,0,4.28,0,0,0,0,5.35,2.14,0,0,0,0,1.07,0,0,0
21Day,0,0,9.37,0,0,0,0,1.34,0,2.68,0,1.34,0,0,2.68,2.68,1.34,0,1.34,0,0,0,0,0
3Month,0,2.24,2.24,0,0,2.56,0.32,0,0.32,1.28,0.64,0.32,0,0,0,0,0,0,0.32,0.32,0,0,0.32,0.64
22Month,1.09,1.64,3.83,2.19,0.55,15.31,1.09,0,1.09,0,2.19,0.55,2.19,0.55,0,0,0,0.55,0,2.73,0,0.55,0,0.55
