stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,12.26,0,0,0,0,0,0,8.17,0,0,0,0,40.86,0,0,8.17,0,0,0,12.26,8.17,531.23,0,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,2.14,0,0,14.98,49.21,2.14,0,0,0,0,0,0,0,0,0,0,7.49,0,7.49,0,0,0,1.07,90.93,44.93,3.21,0,7.49,0,0,0,32.09,0,0,4.28,0,0,0
21Day,13.39,6.69,1.34,18.74,14.72,4.02,0,0,0,0,0,0,0,4.02,0,2.68,5.35,4.02,6.69,0,0,0,0,26.77,21.42,2.68,0,2.68,2.68,0,0,9.37,0,1.34,4.02,0,0,1.34
3Month,0,5.44,4.16,166.05,2.88,0,0.96,0.96,2.88,7.68,0,33.59,10.56,1.6,8,22.08,7.04,11.2,5.76,1.28,0.32,3.2,9.6,48.95,0,14.08,0,0,5.76,0.32,17.92,1.28,0.32,0,2.56,3.2,1572.23,8
22Month,0,4.37,0.55,64.51,2.19,0,0,0,0.55,3.83,0,14.21,1.64,0.55,1.64,2.73,2.19,3.83,2.73,0,0.55,0.55,2.73,14.21,1.09,4.37,0.55,0,0,0,2.19,0.55,0,0,1.09,0,2.19,1.64
