stage,Endothelial_cell,Enterocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,2.14,0,0,0,7.49,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,1.34,0,2.68,0,0
3Month,0.32,0.32,0,2.24,0.32,0.64,0,0.96,0.32,0,0,3.2,0.32,3.2,0.32
22Month,0,0,0.55,2.73,0,0,0,0,0.55,0.55,0,2.19,0,0,0
