stage,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,8.17,0,0,0,0
72hpf,0,0,0,0,0,1.07,1.07,0,0,0,0
21Day,0,0,0,0,0,0,0,1.34,0,0,5.35
3Month,0.32,0.32,0,1.28,0,0.32,3.84,0,0.96,0.32,14.72
22Month,1.09,0,1.09,7.11,0.55,0,3.28,0.55,0,0,48.65
