stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,1.07,1.07,0,0,0,0,0,0,0,0,0,1.07,0,0,2.14,0,0,72.75,2.14,0,0,0,0,0,0,0,0
21Day,0,0,4.02,0,0,0,0,0,0,0,1.34,0,0,0,2.68,0,0,45.51,1.34,0,0,1.34,0,0,0,0,0
3Month,0,0,1.6,0,0.64,0.32,0,1.6,0.64,0,0.96,0,0,0,0.64,0,0.32,0.32,0,0.32,0,0.32,2.24,0,0.64,24.32,0.32
22Month,0,0.55,1.64,0.55,0,3.28,1.64,13.12,0,1.09,2.19,0,0.55,0.55,2.73,0.55,0,1.64,0.55,0,0.55,0,1.64,0.55,0,0,0.55
