stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,24.52,16.35,0,0,0,0,0,0,0,0,0,0,0
72hpf,6.42,1.07,0,1.07,3.21,4.28,0,0,0,0,0,0,0,1.07,2.14,0,12.84,0,0,0,227.87,31.02,10.7,3.21,0,1.07,0,0,0,1.07,1.07,0,0,0
21Day,8.03,0,0,13.39,13.39,4.02,1.34,1.34,0,2.68,0,8.03,0,1.34,4.02,4.02,16.06,0,1.34,0,301.17,34.8,32.12,13.39,0,5.35,6.69,0,2.68,4.02,8.03,0,0,5.35
3Month,0,0.32,0.32,2.56,0,0,0,1.6,0.32,1.28,1.6,0.96,2.24,0.32,0.96,1.6,0.32,0,0,6.08,8,1.6,14.72,19.52,0,0,0.64,1.6,0,0,0,0.32,0.32,11.84
22Month,0,0,0,2.19,0,0,0,4.37,0,10.93,0.55,0.55,1.64,0,0,2.19,4.92,0.55,0,0,6.01,0.55,38.81,86.37,0.55,0,0,0,0,0,0,0.55,0,8.75
