stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,1.34,0,0,2.68
3Month,1.6,1.28,10.88,0.64,0.64,2.88,3.2,0,20.8,3.84,0.32,8.64,2.88,3.52,2.56,1.92,0.32,0,0.96,1.28,0.64,0,0.64,1.6,0,0,2.56,98.86,0.32,3.52,843.39,23.68
22Month,0,0.55,0.55,0,0.55,1.09,2.73,1.09,29.52,1.64,0,2.19,0,1.09,3.83,3.28,0,0.55,0,0,0,0,0,0,0.55,0.55,0,66.15,0,0.55,7.65,3.28
