stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Pancreatic_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,1.07,0,0
21Day,0,0,0,0,1.34,0,1.34,0,0,0,0,1.34,0
3Month,0.64,0,0.64,0.32,0,0.96,0.32,0,0.32,0,0,0,0
22Month,0.55,0.55,7.65,0.55,0,0.55,0.55,0.55,2.19,0.55,0,0,0.55
