stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,12.26,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,4.09,12.26,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,4.28,1.07,0,0,1.07,0,0,0,0,0,10.7,0,3.21,0,6.42,0,18.19,1.07,0,11.77,2.14,0,0,6.42,0,0,1.07,0,0,0,0,0
21Day,4.02,0,4.02,6.69,4.02,2.68,0,0,0,0,42.83,0,1.34,8.03,0,5.35,0,5.35,0,0,0,2.68,2.68,5.35,0,0,2.68,4.02,0,0,0,1.34,0,0,1.34
3Month,0.64,3.2,7.04,44.79,0.32,0,0.96,0.64,6.08,12.48,201.25,11.84,1.28,93.75,4.8,10.56,6.72,13.44,2.88,0.64,3.2,3152.78,2.24,0.32,1.6,1.28,0.32,10.24,16.64,0.32,0,0,2.24,6.4,8
22Month,0,2.73,3.28,7.65,0.55,0,2.19,0,1.64,7.11,1853.71,0,0,36.08,0.55,0.55,7.65,8.75,1.09,31.16,0.55,49.2,0,1.09,0.55,1.64,0,4.37,7.65,1.09,0.55,0,0.55,0,1.64
