stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,1.07,1.07,0,0,0,0,0,0,0,0
21Day,0,0,0,0,4.02,0,0,0,0,0,1.34,0,0,1.34,0,0,0,1.34,0,0,1.34,0,0,1.34,0,0,0,1.34,0,0,0,0
3Month,0.64,1.6,1.92,6.4,0,0.32,0.32,2.56,1.28,0,163.17,2.24,0,9.92,0.96,1.6,1.6,2.24,0.32,0,1.6,3.52,0,0,0.96,0.64,0,3.84,3.84,0.32,2.56,1.6
22Month,0,0.55,0,1.09,0,0,0,0,0.55,1.09,51.39,1.09,0.55,3.28,0,0.55,0,2.73,0,0.55,1.09,0,0,0,0.55,0,0.55,0,0.55,0,0,0
