stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,5.35,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,4.02,0,1.34,0,0,1.34,0,0,9.37,5.35,0,0,6.69,45.51,2.68,0,0,2.68,0,0,2.68,0,0,0,0,1.34,0,0,0,0,0,0,12.05
3Month,0.64,0.64,0.96,16,0.64,0,0.32,1.6,34.55,0,15.04,448.25,1.28,5.44,0.64,9.92,178.21,62.39,2.24,0.32,1.28,1.92,1.28,0.64,0.96,0,0,0.64,2.24,0.32,1.6,0.32,0.32,0.64,2.56,40.63
22Month,0,1.64,1.09,7.65,0,0,3.28,0.55,61.23,2.73,162.36,267.31,10.39,2.73,0.55,12.03,273.87,250.37,0,3.83,7.65,0,0,0,0,1.09,0.55,0,0,0,0,0.55,0,1.09,0,59.04
