stage,Intestinal_bulb_cell,Ionocyte,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia
24hpf,0,0,8.17,0,0,0
72hpf,0,0,1.07,0,0,0
21Day,0,0,0,1.34,0,1.34
3Month,0,0.32,0,0,1.28,0
22Month,0.55,0,0,0,1.09,0
