stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,65.38,8.17,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,102.16,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,43.86,3.21,4.28,0,0,0,0,0,0,0,0,0,4.28,0,20.33,0,0,0,0,43.86,1.07,0,0,0,31.02,0,0,0,0,2.14,3.21,0,0,0
21Day,2.68,13.39,2.68,1.34,0,0,0,0,0,0,0,0,0,0,0,33.46,0,0,9.37,0,20.08,1.34,0,0,0,25.43,1.34,2.68,0,0,1.34,5.35,0,0,0
3Month,0,8.96,3.2,0,0,0.32,0.96,2.24,0,8.32,0.96,0.64,2.56,6.08,1.6,5.76,0.32,0,0.32,0.64,0.32,0,0.32,0.32,0,0.32,0.96,5.12,0,0,0,1.28,0,1.6,3.84
22Month,0,9.84,2.73,0,1.64,0,0.55,7.65,0.55,48.11,1.09,1.09,5.47,1.09,5.47,6.56,1.09,0.55,0.55,0,0.55,0,1.64,1.09,0.55,0,0,2.73,4.92,1.09,0,0,0.55,0,4.37
