stage,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Spermatocyte
24hpf,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,0,0,0,0,1.07,2.14,0,0,0,0,0
21Day,0,0,0,0,1.34,0,0,2.68,1.34,2.68,0
3Month,0.32,0.32,0.32,0.32,0,0,0,0,5.76,0,3.52
22Month,1.64,0,0,0,0,0,0,0,0.55,0,0
