stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,4.09,28.6,0,0,0,0,0,0,0,0,12.26,57.21,0,12.26,102.16,0,16.35,0,0,0,0,0,0
72hpf,2.14,0,1.07,4.28,0,0,0,0,0,0,3.21,0,26.74,0,35.3,26.74,0,24.61,0,0,2.14,0,0,0
21Day,0,0,2.68,0,0,0,0,1.34,1.34,0,2.68,0,25.43,5.35,13.39,5.35,0,10.71,4.02,0,0,1.34,0,0
3Month,0.32,0.64,3.2,0.32,0,3.52,0.96,0,0.32,0.32,0.96,0,2.24,0.32,0,0,0.32,0,0.32,1.92,0,0,6.4,8.64
22Month,0,0,2.73,0,1.09,5.47,1.09,0.55,0.55,0,0,0,2.73,0,0,0,0,0,0,1.09,0,0,0,0
