stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,4.09,0,32.69,0,0,0,40.86,506.71,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,0,17.12,7.49,3.21,0,0,0,0,0,0,1.07,0,1.07,11.77,4.28,12.84,0,1.07,2.14,914.67,135.86,3.21,5.35,18.19,0,0,41.72,0,3.21,1.07,0,0,0
21Day,1.34,0,70.94,6.69,17.4,2.68,0,0,0,2.68,0,9.37,4.02,4.02,14.72,0,21.42,0,2.68,0,405.58,40.16,2.68,5.35,21.42,20.08,0,13.39,16.06,40.16,12.05,0,0,6.69
3Month,0,0.64,11.52,1.28,0,0,0.64,0.32,0,8.96,0.32,0.32,1.92,1.6,3.52,0.64,3.84,0.64,1.92,1.28,1.6,1.28,2.56,0,0,0.32,9.92,0.32,0,0,0,0.64,54.07,2.56
22Month,0.55,0.55,5.47,0.55,0,0,0.55,1.09,7.65,21.32,0.55,0,2.19,0,1.64,0,1.09,0,0,0,6.01,0,3.28,0.55,0,0,3.28,1.09,1.09,0,0,0,0,0
