stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.25,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,3.21,0,0,0,0,0,0,0,0,0,1.07,0,3.21,0,1.07,0,0,112.33,146.56,1.07,1.07,0,4.28,1.07,0,5.35,1.07,0,0,0,0
21Day,6.69,0,0,2.68,0,1.34,0,0,0,2.68,0,0,0,1.34,5.35,0,10.71,0,0,6.69,0,65.59,37.48,0,0,0,4.02,8.03,1.34,2.68,2.68,1.34,0,0,2.68
3Month,0,0.96,0.32,6.4,0,0,0.32,0.96,0,11.2,0.32,1.28,1.92,0.64,1.6,1.28,7.36,1.6,0,0.32,0,0.96,1.6,0,0,0,0,0.96,28.48,0.96,0,0,0.32,3.84,2.88
22Month,0,0.55,0.55,7.11,0,0.55,0,2.19,1.09,48.11,1.09,1.64,4.37,0,1.09,2.19,3.28,0.55,1.64,1.09,0.55,2.19,0.55,0,0,0.55,0,0,5.47,2.73,0,0,0,0,0
