stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,33.16,0,7.49,3.21,5.35,0,0,0,0,31.02,0,0,0
21Day,2.68,0,2.68,1.34,1.34,0,0,0,0,0,1.34,0,0,0,1.34,125.82,1.34,9.37,0,120.47,0,0,1.34,2.68,32.12,0,0,1.34
3Month,0,0.32,1.92,0,0,0,0.32,0.32,2.24,0.32,0,0.32,0,0.64,0.32,0.96,0,0.32,0,0,10.88,6.72,0,0,3.2,0.32,22.72,0
22Month,0,0,0,0,0,0.55,0.55,0.55,8.2,0,0.55,2.19,0,0,0,0.55,0,1.64,0.55,0,2.19,8.75,0,0,0.55,0,0,0.55
