stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,1.07,0,0,0
3Month,0.64,4.16,0.32,0.64,0.32,2.24,0.96,0.32,1.6,0.32,0.64,0.64,0.32,0,0.64,0.32,0.96,0.32,5.76,0,0.32,29.44,1.28
22Month,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,2.19,0,0,0,0
