stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,4.09,0,4.09,0,0,0,0,0,0,0,0,0,4.09,16.35,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,3.21,0,0,0
21Day,0,1.34,5.35,0,0,0,0,1.34,2.68,6.69,0,0,0,0,5.35,0,0,0
3Month,0.32,0.32,5.44,0.32,1.28,0.32,0.64,0.32,0,0.64,0.32,0.32,0,0,0,0.32,6.72,0.64
22Month,0,0.55,0.55,0,0,1.09,0.55,0,0.55,0,0.55,0,0,0,0,0,2.73,0
