stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell
24hpf,0,0,0,0,0,0,0,0,8.17,0,0,0
72hpf,1.07,0,1.07,0,0,1.07,1.07,10.7,2.14,0,0,0
21Day,0,2.68,0,0,0,0,0,22.76,1.34,0,0,1.34
3Month,0,0.64,0,0,0,0,0,0,0,0.32,0,0
22Month,0,0,0,3.28,1.09,0,0.55,0,0,0,1.09,0
