stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,3.21,0,0,0,0,0,0,0,0,0,2.14,6.42,2.14,2.14,0,0,2.14,0,1.07,2.14,0,0,0,1.07,0,0,0,0,0,1.07,0,0,0
21Day,5.35,1.34,0,16.06,5.35,0,0,0,0,0,28.11,0,4.02,34.8,2.68,2.68,0,4.02,0,0,1.34,0,1.34,0,0,0,1.34,2.68,1.34,1.34,0,1.34,16.06,0,0,1.34
3Month,0,2.24,3.52,16.96,0,1.92,0.32,1.6,5.44,0,947.05,4.48,0,157.74,2.88,3.52,2.24,6.72,2.24,0,2.56,2.24,1.92,0.96,1.28,0,0,14.08,1.92,0.64,0,0,0.32,0.32,1.6,1.6
22Month,2.73,9.84,13.12,17.49,0,3.28,0,7.11,8.2,6.56,4898.03,4.92,1.64,252.01,4.37,4.92,10.39,17.49,0,45.92,4.37,0,0.55,3.83,3.83,9.84,0,4.92,1.09,0,2.73,0,1.64,0.55,0,7.11
