stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,8.17,0,0,0,4.09,0,8.17,8.17,0,0,0,0,32.69,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,1.07,3.21,0,3.21,0,0,0,0,0,0,0,0,0,0,0,2.14,4.28,1.07,11.77,0,2.14,0,66.33,9.63,1.07,0,13.91,0,0,2.14,0,0,0,0,0
21Day,1.34,1.34,0,10.71,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,18.74,0,4.02,0,12.05,5.35,1.34,0,5.35,2.68,0,0,0,0,0,0,0
3Month,0,5.44,0,14.4,0.64,0,0,0.32,3.52,0.32,0,0,2.24,0,0.96,2.56,5.44,0.64,6.4,1.28,0.64,0.64,1.28,0.64,1.6,0.96,0.96,0.32,4.8,0,0,0,4.48,4.16,0.32
22Month,0,6.56,0.55,4.92,0,0.55,0.55,0,0,0.55,1.64,0,7.11,0.55,1.09,0.55,1.64,0,1.09,0,0,0,0,0.55,1.09,0.55,0.55,0,1.64,0.55,1.09,0,0.55,0,0
