stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,12.26,0,0,0,0,0,0
72hpf,0,2.14,0,6.42,1.07,0,0,0,0,0,0,0,0,1.07,7.49,0,16.05,0,2.14,0,0,6.42,13.91,0,2.14,0,2.14,0,0
21Day,1.34,0,0,12.05,0,1.34,0,0,0,0,0,5.35,0,1.34,5.35,1.34,9.37,0,0,1.34,0,6.69,8.03,0,1.34,0,0,0,2.68
3Month,0,0.64,0.32,3.84,0,0,0,0,0,3.52,1.92,0,0.64,0.32,0.64,1.28,0.96,1.6,0,0,0.64,0,0,0.32,0,0.96,0,14.72,0.96
22Month,0,0.55,0,1.64,0,0,0.55,1.09,0.55,15.85,0,0.55,1.09,0,0.55,0.55,1.09,0,1.64,0,0,0,0,0,0,0,0.55,0,0
