stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,1.07,0,3.21,3.21,4.28,0,0,1.07,0,6.42,8.56,2.14,7.49,0,0,0,757.41,12.84,1.07,2.14,35.3,0,0,5.35,0,2.14,0,0,0
21Day,1.34,0,0,1.34,1.34,6.69,0,0,0,1.34,1.34,1.34,1.34,8.03,0,2.68,0,139.21,4.02,0,14.72,5.35,2.68,1.34,1.34,2.68,0,0,0,0
3Month,0,0,0.32,1.92,0,0,0.64,0.96,0,0,0,0,0.32,0.96,0.32,0.32,0.32,0.96,0,3.52,1.28,0,0,10.88,0,0,0,1.6,1.6,0.32
22Month,0,0,0,1.09,0,0,1.09,0,0,0,0,0,0.55,0,0,0,0,0,0,1.64,0.55,0.55,0.55,7.11,0,0,0,1.64,0.55,0
