stage,Cardiomyocyte,Epithelial_cell,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Radial_glia,T_cell
24hpf,0,8.17,4.09,0,0,4.09,0,0,0,0,8.17,0,0,0
72hpf,2.14,0,0,0,0,1.07,2.14,0,0,74.89,6.42,0,1.07,0
21Day,1.34,4.02,0,0,0,0,5.35,1.34,0,22.76,2.68,1.34,2.68,0
3Month,0,0,0,0.32,0.32,0,1.28,0,0.32,0,0,0,0,0.32
22Month,0,0,0,16.95,0,0,0,0,0,0,0,0,0,0
