stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,6.42,0,0,0,17.12,5.35,3.21,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,9.37,2.68,0,0,1.34,0,0,0
3Month,0.32,0.96,0.32,0.64,3.52,0.96,0.64,0.64,0.64,0.64,0.32,0.64,0,0.32,0,0,0.32,4.48,0,0.32,9.6,0.96
22Month,0,1.09,0,2.19,20.23,0.55,0.55,2.19,0,1.64,1.09,0,1.64,0,0,0,0,0,0,0,0,0
