stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,28.6,0,0,20.43,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,1.07,0,2.14,1.07,4.28,0,0,0,0,0,0,0,1.07,1.07,4.28,0,5.35,0,0,412.94,13.91,2.14,1.07,3.21,0,1.07,2.14,1.07,2.14,0,0
21Day,12.05,0,0,5.35,0,5.35,0,0,0,0,0,1.34,0,0,0,2.68,2.68,9.37,0,0,190.07,2.68,0,4.02,0,9.37,1.34,2.68,0,0,0,0
3Month,0,0.64,0,2.56,0,0,0.32,0.32,0.32,0.64,3.84,0.64,0,0.64,0,0.64,1.28,0.64,0.32,1.6,7.04,0.32,2.56,0.96,0,0.64,53.11,0,0,0,51.83,0.64
22Month,0.55,1.09,0.55,1.09,0,0,0,0,0.55,0,2.19,0,0.55,0.55,0.55,0,0.55,2.73,0.55,0.55,1.64,0,0,0.55,0,0,49.75,0,0,0,0.55,0
