stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,20.43,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,5.35,2.14,2.14,0,0,0,0,0,0,1.07,0,5.35,1.07,0,8.56,0,1.07,0,0,26.74,13.91,0,0,5.35,0,0,3.21,0,1.07,0,0,0
21Day,2.68,0,0,1.34,0,1.34,0,1.34,0,0,4.02,1.34,2.68,5.35,4.02,5.35,1.34,16.06,0,0,5.35,0,17.4,5.35,0,0,4.02,2.68,1.34,0,1.34,0,0,0,0
3Month,0,0,0.32,3.2,0,0,0.32,0,1.6,0,91.51,0.96,0,8,1.92,2.24,0,0.96,0.32,0,0.32,0.32,0,0,0.64,0.96,0,1.28,0.32,0,0,0,0.32,7.68,1.28
22Month,0,0.55,0.55,2.19,0,0,0.55,0,1.64,1.64,126.82,0,1.64,7.11,0,0,0.55,0.55,0,6.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55
