stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,8.17,0,0,0,0,0,0
72hpf,0,2.14,0,2.14,1.07,0,0,0,0,1.07,0,1.07,1.07,0,0,0,12.84,3.21,3.21,1.07,0,1.07,0,0
21Day,1.34,1.34,1.34,6.69,2.68,2.68,1.34,0,0,1.34,0,0,5.35,1.34,2.68,1.34,5.35,1.34,0,1.34,0,0,4.02,0
3Month,0,0,0,0.32,0,0,0,0,0,0,0.32,0,0.32,0,0,0,0,0,0,0,0,0,0,0.64
22Month,0,0,0,0,0,0.55,0,12.57,0.55,0,0.55,0,0,0,0.55,0,0,0,0,0,0.55,0,0,0.55
