stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,4.09,0,49.04,0,0,0,0,0,0,0,0,0,0,0,4.09,32.69,0,0,0,0,4.09,138.94,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,11.77,1.07,0,21.4,1.07,1.07,0,0,0,0,0,0,0,3.21,14.98,1.07,24.61,0,0,0,0,28.88,26.74,1.07,1.07,0,36.37,0,0,3.21,0,0,0,0,0,0
21Day,13.39,0,0,10.71,0,0,0,0,0,0,0,0,0,0,10.71,0,60.23,0,0,2.68,0,14.72,6.69,1.34,0,0,49.53,0,0,0,1.34,1.34,0,0,0,0
3Month,0,3.2,0.32,12.48,0,0,0.32,0.96,0.96,0,11.2,0.64,5.76,0,7.04,1.6,13.44,2.24,0,0.32,0.64,0.32,0.32,0.96,0,0,0.96,0.96,5.44,0,0,0,0.32,1.6,7.68,0.64
22Month,0,2.73,1.09,5.47,0.55,0,0,1.09,0.55,3.28,28.97,1.64,1.64,0,1.09,0.55,12.03,0,0.55,0,0,0,0,1.64,1.64,1.09,0.55,0.55,1.09,1.09,0,0,0,0,0,0.55
