stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,5.35,0,0,0,0,0,0,0,0,0
21Day,0,0,0,6.69,0,0,0,0,0,0,0,0,1.34,6.69,2.68,0,0,0,0,1.34,0,0,0,0,1.34,0,0,0,0,1.34
3Month,0,0.96,0.32,5.76,0.64,0.96,0,1.6,6.08,0,0.96,0.32,0,27.2,1.6,0.32,0,0.32,0.96,0.32,0,0.32,0,0,0,0.64,0,0.32,2.56,3.2
22Month,0.55,1.64,0.55,10.93,1.09,0.55,1.64,56.31,4.92,0.55,2.73,0.55,1.64,31.71,3.28,0,2.73,0.55,0.55,0,0,0,0.55,0.55,0,0.55,0.55,0,0,4.37
