stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,40.86,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,2.14,0,0,0,0,0,0,0,0,1.07,2.14,0,2.14,0,0,5.35,8.56,0,2.14,0,0,0,0,0,0
21Day,2.68,0,1.34,4.02,4.02,2.68,0,0,0,1.34,8.03,0,1.34,2.68,0,12.05,0,0,4.02,5.35,0,1.34,0,0,1.34,0,0,0
3Month,0,0,0.32,3.52,0,0.32,0,0.96,2.88,0.32,0.32,0.64,0,1.6,0.64,0.32,0,0.32,0.32,0,0,0,0.32,4.16,0,0.32,3.2,1.6
22Month,0,0.55,0.55,2.19,0,0,0.55,1.09,8.75,0,0,0.55,0,0,1.09,0,1.09,0,0.55,0,0.55,0,0,0.55,0,0,0,0.55
