stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,12.26,0,0,0,4.09,73.56,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,2.14,8.56,0,0,0,0,0,0,0,2.14,0,2.14,0,0,0,130.51,8.56,0,2.14,0,0,4.28,1.07,0,0
21Day,2.68,0,0,2.68,4.02,1.34,0,0,0,0,0,0,1.34,1.34,2.68,1.34,1.34,0,50.86,4.02,0,2.68,1.34,1.34,1.34,4.02,0,0
3Month,0,0,0.32,2.24,0.32,0,0.64,0.64,0.32,4.16,1.6,0.32,0.64,0.32,1.6,0,0,0.64,2.24,0,1.28,0,0.32,2.88,0,0,5.44,0.64
22Month,0,1.64,1.09,1.09,0,0,0,1.64,0.55,19.68,0,0.55,0,0.55,1.09,0.55,0,0,1.64,0,0,0,0,6.56,0.55,0,0,0.55
