stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mt_rich_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0
21Day,0,0,1.34,0,0,0,0,1.34,0,0,1.34,0,0,0,0
3Month,0,0,0,0.32,0.32,0,1.28,0.64,0.32,0.64,0,0,0,0.32,0.32
22Month,0.55,1.09,0,0.55,1.09,0.55,13.67,0,0,0.55,0,0.55,0,0,0
