stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,8.17,0,0,0,0,0,4.09,0,0,0,8.17,0,4.09,0,0,0,8.17,0,134.85,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,6.42,1.07,0,2.14,5.35,3.21,0,0,0,0,0,0,0,1.07,5.35,1.07,7.49,0,0,0,531.69,36.37,1.07,3.21,8.56,1.07,1.07,10.7,2.14,1.07,1.07,0,0
21Day,2.68,0,1.34,9.37,2.68,4.02,10.71,0,0,0,1.34,0,1.34,0,0,2.68,16.06,0,1.34,0,219.52,22.76,1.34,4.02,14.72,2.68,1.34,21.42,5.35,5.35,0,0,1.34
3Month,0,0,0.32,1.92,0.32,0,0,0.32,0,0,0.64,0.32,0,0.32,0.64,0.32,1.92,0.32,0,0.32,0,0,0.64,0,0,0,8.64,0,0,0,0,32.95,0.32
22Month,0,0,0,0,0,0,0,0,0.55,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
