stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,28.6,8.17,0,0,0,0,0,0,4.09,0,0,0,0,12.26,0,4.09,0,0,0,0,0,36.78,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,5.35,4.28,0,29.95,13.91,1.07,0,1.07,0,0,0,0,0,0,0,3.21,13.91,0,9.63,0,1.07,0,0,32.09,18.19,0,2.14,0,10.7,0,1.07,11.77,0,0,0,0,0,0
21Day,0,1.34,0,18.74,6.69,0,0,0,0,0,0,0,4.02,0,0,6.69,9.37,1.34,5.35,0,0,4.02,0,2.68,4.02,6.69,0,0,1.34,1.34,4.02,0,1.34,1.34,0,0,0,0
3Month,0.32,2.24,1.92,10.88,8.96,0,1.28,0,0.64,1.28,0,0,406.02,1.92,8.64,0.64,2.24,2.24,4.16,1.28,1.28,3.2,0.96,0.96,0.32,1.92,0,0,0,5.44,46.07,1.92,0,0,0,1.92,5.12,2.24
22Month,0,4.37,0.55,8.2,1.64,0,0,0.55,0.55,3.28,0.55,0,370.63,0,10.93,0.55,2.19,2.73,3.28,0,9.29,1.09,0,0,0,4.92,0.55,2.19,0.55,0,48.65,4.92,0,0,0.55,0.55,0,0
