stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Nephron_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,2.14,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,1.07,0,0,0,0
21Day,0,4.02,0,2.68,1.34,1.34,0,1.34,0,0,0,0,1.34,0,2.68,0,0,4.02,1.34,0,0
3Month,0,0.32,0.32,0,0,0.64,0.32,1.92,0.32,0.32,0.64,0.32,0,0.64,0,0.32,0,0,39.03,22.4,0.64
22Month,0,0.55,0,0,0,0.55,0,1.09,0,0,0.55,1.09,0,0,0.55,0.55,0,0,43.73,0.55,0
