stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,49.04,77.64,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,32.09,0,0,8.56,1.07,20.33,1.07,0,0,0,0,0,0,0,4.28,35.3,1.07,19.26,0,0,1.07,2863.83,69.54,2.14,27.81,36.37,0,0,0,19.26,1.07,2.14,0,0,0
21Day,13.39,0,2.68,17.4,1.34,21.42,4.02,1.34,4.02,0,1.34,1.34,2.68,8.03,0,20.08,1.34,20.08,0,2.68,1.34,958.39,21.42,4.02,16.06,14.72,22.76,0,0,10.71,8.03,6.69,6.69,0,13.39
3Month,0,0.96,0,2.88,0,0,0,0.64,0.96,0,5.12,0,0,0.32,0.64,0.96,0.32,1.6,0.32,0.32,0.32,3.84,0,1.28,1.6,0,0,0.32,0.32,0.64,0.32,0,0.32,0.32,0.96
22Month,0,1.09,0.55,2.19,0,0,0,0,2.73,1.64,56.85,1.64,0,5.47,0,0,3.28,2.73,0,0,0,7.65,0,4.37,2.73,0,0.55,0,1.64,1.09,0,0,0,0,0
