stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,16.35,0,0,0,0,4.09,0,0,0,4.09,16.35,8.17,49.04,0,0,0,8.17,453.59,12.26,0,0,0,0,4.09,0,0
72hpf,2.14,2.14,0,1.07,1.07,0,0,0,0,0,0,0,1.07,2.14,0,3.21,0,0,0,10.7,28.88,2.14,0,0,1.07,0,0,0,0
21Day,1.34,0,0,4.02,12.05,0,2.68,0,0,0,1.34,1.34,0,0,1.34,1.34,0,0,0,1.34,4.02,0,0,0,0,1.34,0,0,0
3Month,0,0.32,0,0.96,0,0.32,0,0.64,0,2.88,0.64,0.64,0.32,1.6,0.32,0.32,0,0.32,0.32,0.32,0.32,0,0.32,9.6,0,0,0,0.64,1.28
22Month,0,0,0.55,0,0,0,0,1.09,0,1.09,0.55,1.09,0,0,0.55,0.55,0.55,0,0,0,0,0,0,1.64,0,0,0,0,0
