stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell
21Day,0,0,0,0,1.34,0,0,0
3Month,0.96,0,0,0,0,0.32,0,0.32
22Month,0,4.37,0.55,0.55,0.55,0.55,0.55,0
