stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,32.69,8.17,0,77.64,0,4.09,0,0,0,0,16.35,0,0,0,0,12.26,20.43,32.69,114.42,0,0,0,0,617.05,10301.83,20.43,0,20.43,0,0,0,0,0,16.35,0,0,0
72hpf,448.24,53.49,0,234.28,49.21,345.54,3.21,0,6.42,0,0,1.07,0,7.49,0,97.35,617.27,88.79,359.45,0,22.47,23.54,5.35,51729.75,4584.06,41.72,217.17,598.01,3.21,0,2044.37,33.16,41.72,71.68,0,0,0
21Day,161.96,14.72,14.72,323.93,14.72,349.36,40.16,1.34,9.37,0,0,76.3,12.05,69.6,58.9,24.09,227.55,87,334.63,0,0,38.82,1.34,15695.64,3270.04,28.11,228.89,179.36,431.01,5.35,1086.89,76.3,159.29,34.8,0,0,54.88
3Month,0.32,2.24,1.28,45.11,0.32,0,0,3.84,9.6,0.64,0,16.64,11.84,0.32,7.68,2.56,16.64,6.72,7.36,2.24,0,1.92,2.56,226.2,31.36,27.2,54.39,0.32,1.92,37.43,11.52,0.64,0.32,0.96,0.96,9.92,7.04
22Month,12.57,4.37,1.64,24.6,1.09,0,1.09,2.19,19.68,4.92,0,43.73,10.39,2.73,14.21,0,3.83,14.76,10.93,0,3.28,3.28,0,107.69,34.99,44.28,156.89,1.64,0.55,78.72,73.8,3.28,0,1.64,0.55,0,3.28
