stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,8.17,0,0,0,0,0,0,0,0,0,4.09,28.6,57.21,0,0,0,12.26,212.49,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,2.14,6.42,0,0,0,0,0,0,0,0,4.28,6.42,0,5.35,0,1.07,0,20.33,12.84,0,0,8.56,0,0,0,0,0,0,0,0
21Day,2.68,0,6.69,0,0,1.34,0,1.34,0,2.68,2.68,0,4.02,1.34,13.39,0,0,0,6.69,6.69,0,0,6.69,0,0,1.34,2.68,0,0,0,0
3Month,0,0,3.2,0,1.6,0.32,0,5.12,0,0.32,1.28,0,0.96,0.96,0.64,0,0,0.32,0,0,0.32,0,0,0,0.64,0,0,0,0.32,0.32,0
22Month,0,0.55,2.19,1.09,0.55,1.64,0.55,29.52,1.09,2.19,0.55,0,1.64,6.01,4.92,0.55,0.55,0,0,0,1.09,0.55,0,0.55,0,0,0,0.55,0,0,0.55
