stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,1.07,0,0,2.14,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,0,33.46,2.68,0,1.34,0,1.34,0,0,0,5.35,6.69,1.34,25.43,18.74,0,0,0,0,0,10.71,1.34,0,0,0,0,0,1.34,0,0,4.02
3Month,0.96,0.96,5.12,210.53,0,1.6,0,32.63,6.4,0,81.27,8.32,0.32,147.5,14.72,65.59,26.24,2.88,0.96,0,9.6,8.32,0.64,0,3.2,0.32,3.84,6.4,0,0.32,2.24,2.56,16.32
22Month,0,1.64,13.67,80.36,0,0,2.19,27.33,9.29,8.75,255.29,5.47,8.2,301.75,3.28,18.04,40.45,11.48,0.55,3.83,13.67,0,1.09,0.55,3.28,1.64,0.55,3.83,0.55,0,1.09,0,16.95
