stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,257.44,0,0,8.17,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,24.52,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,70.61,2.14,0,5.35,0,0,1.07,0,0,0,0,0,0,0,0,0,0,4.28,0,37.44,0,1.07,1.07,21.4,14.98,0,1.07,14.98,0,0,3.21,0,0,0,0,0,0
21Day,68.27,2.68,0,8.03,1.34,6.69,0,0,0,1.34,0,0,0,0,5.35,1.34,1.34,4.02,0,52.2,0,0,13.39,12.05,4.02,0,2.68,8.03,6.69,2.68,1.34,1.34,1.34,4.02,0,0,0
3Month,0.64,3.52,0.32,6.72,0,0,0,0,0.64,7.68,0.32,0,17.92,1.92,0.96,3.52,0.32,2.56,2.56,16.32,3.2,0,0.96,0.64,0.32,0.32,1.92,0,1.28,2.88,0.32,0,0,0,0,4.16,1.6
22Month,0,5.47,0.55,3.83,0.55,0,0.55,1.09,0.55,8.75,3.28,0,71.61,2.73,1.09,2.19,0,0.55,4.37,24.05,1.09,2.73,1.09,0.55,0,1.09,0.55,0,0.55,2.19,3.28,0.55,0,0,0.55,0,1.64
