stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,89.9,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,83.44,0,2.14,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.3,3.21,0,0,1.07,0,0,0,1.07,0,0,0
21Day,1.34,58.9,1.34,4.02,0,0,1.34,0,0,0,0,1.34,0,0,0,1.34,4.02,0,1.34,0,29.45,0,0,4.02,5.35,1.34,0,1.34,0,0,0,0
3Month,0,35.83,0,4.16,0,0,0,0.96,1.6,0,0,9.6,0.64,0,2.24,0.64,1.92,1.6,2.56,0.96,0.32,0,0.32,0.32,0,0.96,1.28,0,0,1.28,0.64,1.28
22Month,0,163.45,0,2.73,0,0.55,1.09,0.55,1.09,2.19,0,38.27,2.19,0.55,2.73,0,1.64,2.19,3.28,0,2.19,0,0.55,0.55,0.55,0.55,0.55,0.55,0,0,0,0.55
