stage,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,0,0,0,1.07,2.14,0,0,24.61,2.14,1.07,2.14,0,2.14,0
21Day,2.68,1.34,0,0,0,0,1.34,0,2.68,14.72,1.34,0,0,1.34,1.34,1.34
3Month,0.64,0,0.32,0,3.52,0,0,0,0.32,0.32,0,0,0,0.32,0,0.32
22Month,0,0,0.55,0.55,6.01,0,0,0.55,0,0,0,0,0,0,0,0
