stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,36.78,576.18,0,12.26,4.09,0,0,8.17,0,0,0,0,0,0,0,0,4.09,8.17,171.63,0,0,0,310.57,216.58,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,125.17,580.9,0,6.42,48.14,8.56,0,1.07,0,0,0,0,0,2.14,0,0,9.63,67.4,194.7,0,51.35,0,338.05,117.68,0,1.07,0,72.75,0,0,0,9.63,0,6.42,0,0,0
21Day,157.95,159.29,1.34,8.03,10.71,10.71,0,2.68,1.34,0,0,4.02,1.34,12.05,1.34,0,9.37,56.22,91.02,0,195.43,0,89.68,24.09,0,28.11,0,29.45,12.05,0,2.68,2.68,4.02,0,0,0,5.35
3Month,14.08,470.01,0.64,24.96,0,0,1.6,0.64,3.2,15.68,1.28,25.6,162.53,0.32,15.68,2.88,8.64,84.79,47.99,8.64,154.86,1.92,8,2.56,1.6,71.99,0,2.88,2.56,0.32,40.31,0,0,1.92,40.31,6.08,8
22Month,11.48,674.57,3.83,13.67,0,0,1.09,0,1.09,10.93,1.64,53.03,12.57,1.64,4.92,0.55,3.28,89.1,39.91,4.37,123,0,5.47,1.09,3.83,117.53,1.09,1.64,0,0,69.97,0.55,0,0,6.01,0,2.19
