stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,204.32,0,0,0,0,12.26,16.35,0,0,0,20.43,0,0,0,0,0,0,0
72hpf,2.14,1.07,0,0,0,0,0,0,0,0,0,0,0,0,17.12,0,0,0,0,37.44,2.14,0,0,0,38.51,0,0,0,1.07,0,0,0
21Day,2.68,0,0,8.03,0,0,0,0,0,0,0,0,0,0,37.48,0,0,0,0,18.74,1.34,0,0,0,5.35,1.34,0,0,0,0,0,1.34
3Month,0,1.28,4.8,0,0,0,0.96,0,4.8,0.32,1.6,0.32,2.56,0,3.2,0.96,0,0.32,0.64,0,0,0.32,0,0,0.32,0,1.28,0,0,0.64,1.92,0.96
22Month,0,2.73,6.01,0,1.64,1.09,1.09,1.09,37.17,2.73,5.47,0,0.55,5.47,8.2,0.55,1.09,0.55,0,0.55,0,1.09,0.55,0.55,0,0,1.64,0.55,0,0.55,0,1.09
