stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,12.26,0,0,0,0,0,4.09,8.17,4.09,0,0,0,0,4.09,28.6,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,2.14,0,0,0,1.07,0,0,0,1.07,0,0,0,0,0,0,2.14,6.42,1.07,3.21,0,0,0,0,31.02,8.56,1.07,0,3.21,0,0,0,2.14,1.07,0,0,0
21Day,2.68,0,0,12.05,0,2.68,0,0,1.34,2.68,0,0,0,0,0,2.68,2.68,5.35,1.34,6.69,0,0,0,0,12.05,1.34,0,1.34,0,1.34,0,1.34,4.02,0,0,0,0
3Month,0,1.28,0,11.84,0.64,0,0,0.96,5.76,5.12,0,0,12.8,1.92,0.96,6.4,0.96,3.84,4.48,4.48,0.64,0,4.48,0.96,0.96,0,0.96,0.32,0.64,0.32,0.32,8.96,0,0,1.28,2.24,2.88
22Month,0,0,2.19,4.37,0,0,0.55,0,2.19,6.56,0.55,0,19.13,1.09,1.09,11.48,0,0.55,6.56,1.09,0,1.64,1.09,0,0.55,0,1.64,0.55,0,0,0,5.47,2.19,0,0,0,2.73
