stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,36.78,0,0,0,0,0,0,0,0
72hpf,0,0,3.21,1.07,0,0,0,0,0,0,0,1.07,1.07,0,2.14,0,6.42,7.49,0,3.21,0,0,1.07,0,0,0
21Day,2.68,0,5.35,0,1.34,0,0,1.34,0,0,2.68,1.34,0,0,0,2.68,1.34,4.02,0,1.34,2.68,1.34,2.68,2.68,0,0
3Month,0,0.32,1.28,0,0,0.32,0.96,4.16,0.32,0,2.24,0,0.96,0.32,0.96,0,0,0,0.32,0,0,1.28,0,0,4.8,0.32
22Month,0,0,0.55,0,0,0,0,7.65,0.55,0.55,0.55,0,0,0.55,0.55,0.55,0,0,0,0,0,1.09,0,0,0,0
