stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,1.07,8.56,0,0,0,0,0,0,0,0,0,0,0,9.63,0,3.21,0,0,0,0,5.35,6.42,0,0,0,0,0,0,0,0,0,0
21Day,6.69,5.35,33.46,0,1.34,0,0,1.34,0,2.68,0,1.34,0,0,1.34,0,14.72,0,0,1.34,0,8.03,0,2.68,0,0,2.68,0,0,2.68,0,0,10.71
3Month,12.16,15.68,0,0.64,0,0.32,6.4,2.56,0,73.59,1.92,0,2.24,1.28,2.24,2.24,9.28,0.32,0,2.24,0.32,0.64,0.32,1.92,0,0,0.32,1.28,2.24,0.32,8.32,0.32,11.2
22Month,29.52,4.37,0,1.09,0,0,7.11,3.28,2.73,225.22,4.92,1.64,11.48,0.55,1.64,1.09,10.39,0,3.83,0.55,0,2.19,0,3.28,0.55,0.55,1.09,0,0,0,2.19,0,4.92
