stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,4.02,0,0,0,0,0,0,0,0,1.34,1.34,0,0,0,0,0,0,1.34,0,1.34,0,1.34,0,0
3Month,0.32,0.96,16.64,0.64,26.24,1.6,0,5.44,0.96,0.64,48.31,0.64,1.28,5.76,1.28,0.32,0,3.2,0.32,5.44,0.32,0,0.64,1.28,0.32,4.48
22Month,0,0,6.56,0,4.37,1.64,0,26.24,0.55,1.09,12.57,0,2.73,1.64,0,0,1.09,0.55,0,0.55,0.55,0,0,0,0,5.47
