stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0,0,8.17,0,53.12,4.09,0,0,0,0,0,0,0,0
72hpf,9.63,0,0,3.21,1.07,0,0,0,4.28,0,0,0,35.3,1.07,0,2.14,0,28.88,0,1.07,362.66,6.42,0,2.14,0,0,2.14,0,0,0,0
21Day,10.71,1.34,20.08,8.03,4.02,0,0,2.68,4.02,0,2.68,0,1.34,20.08,1.34,12.05,0,0,0,1.34,710.76,6.69,0,6.69,4.02,0,0,1.34,4.02,0,2.68
3Month,7.68,0,13.76,5.12,0,0.32,1.6,0.96,6.4,1.28,0.32,25.28,0,0.96,0.96,0.32,0.32,0,0.32,33.91,42.55,0,0.64,0,0.64,1.92,0.32,0,0,0.96,0.64
22Month,4.92,0.55,8.2,1.09,0,0,0,1.64,7.11,0,0,9.84,0,0,0.55,1.64,0,0,0,1.64,13.12,0,0,0.55,0,0,0,0,0,0,0.55
