stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,16.35,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,20.43,0,0,0,0,0,0,0
72hpf,1.07,0,2.14,1.07,1.07,0,0,0,0,0,1.07,3.21,0,13.91,0,1.07,10.7,38.51,0,1.07,0,1.07,0,0,0
21Day,4.02,1.34,14.72,1.34,0,0,0,0,1.34,0,0,4.02,0,24.09,2.68,0,2.68,6.69,0,16.06,0,1.34,0,0,0
3Month,0,0,3.52,0,0,0,0.32,0.32,0,0,0,0.64,0.32,0,0,0,0,0,0.32,0,16,0,0.32,2.88,0
22Month,0,0,3.28,0,0,1.09,6.01,0,0.55,1.09,0,0,0,1.64,0,0,0.55,0,0,0,14.21,0,0,0,0.55
