stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,4.09,0,0,0,0,0,0,4.09,0,4.09,32.69,0,0,0,0,0
72hpf,1.07,0,0,1.07,4.28,1.07,0,0,0,0,0,9.63,6.42,4.28,1.07,1.07,0,2.14
21Day,2.68,1.34,4.02,0,16.06,0,0,0,1.34,4.02,1.34,1.34,5.35,2.68,2.68,1.34,1.34,1.34
3Month,0,0,0.64,0,0,0,0.32,0.32,0.32,0,0,0,0,0,0.32,0,0,0
